epoch;IoU;binary_accuracy;kaggle_IoU;loss;lr;val_IoU;val_binary_accuracy;val_kaggle_IoU;val_loss
0;0.4165074616670609;0.9964934200048446;0.41640145927667616;5.516128957271576;0.001;0.4604365423321724;0.9962144732475281;0.46346652656793597;4.740186417102814
1;0.46749964356422424;0.9963369339704513;0.46774656474590304;4.701043128967285;0.001;0.4884203940629959;0.996877059340477;0.4909545034170151;4.317902755737305
2;0.4515091821551323;0.9966175556182861;0.4514064475893974;4.909695839881897;0.001;0.48772976249456407;0.9970279723405838;0.4890196040272713;4.315233099460602
3;0.45208616852760314;0.9963106662034988;0.45193328708410263;4.899929797649383;0.001;0.4967854395508766;0.9971670031547546;0.4976408287882805;4.209456765651703
4;0.46971220821142196;0.9964733749628067;0.4694434881210327;4.5907297968864444;0.001;0.5074117019772529;0.9974616318941116;0.5069355830550194;4.090620970726013
5;0.4575005047023296;0.9966637700796127;0.45761406496167184;4.82662924528122;0.001;0.43848723620176316;0.9959581792354584;0.4429170094430447;5.298832023143769
6;0.4447606772184372;0.9967964917421341;0.44415867179632185;5.057634627819061;0.00020000001;0.5139168977737427;0.9975369513034821;0.5138569548726082;3.995485818386078
7;0.48115923851728437;0.9967260926961898;0.48009327203035357;4.449007773399353;0.00020000001;0.5144079595804214;0.9972172468900681;0.5166237816214562;3.953709304332733
8;0.4889441803097725;0.9968706846237183;0.4894931554794312;4.335968792438507;0.00020000001;0.5278138682246208;0.9975264281034469;0.5284615024924278;3.8011739015579225
9;0.5054389029741287;0.9967745780944824;0.5045329883694649;4.083818006515503;0.00020000001;0.5232526287436485;0.9973375380039216;0.524570745229721;3.8383604407310488
10;0.4614263638854027;0.9964356511831284;0.4617869719862938;4.7615978717803955;4.0000003e-05;0.5280234381556511;0.9974565386772156;0.5289467126131058;3.786896812915802
11;0.4908795773983002;0.9969393342733384;0.49036267548799517;4.329727160930633;4.0000003e-05;0.5289389744400979;0.9975360363721848;0.5293934047222137;3.792101871967316
12;0.5053606942296028;0.9968886792659759;0.5050738409161568;4.164347624778747;8.000001e-06;0.5288565307855606;0.9975330144166946;0.5292076230049133;3.7953237652778626
13;0.48696320950984956;0.9969680726528167;0.48623708486557005;4.392533636093139;1.6000001e-06;0.5294154822826386;0.9975367605686187;0.5297600269317627;3.787082517147064
14;0.5034400165081024;0.9970500439405441;0.5029749304056168;4.194737672805786;3.2000003e-07;0.530041566491127;0.9975383520126343;0.5305112645030021;3.776812493801117
15;0.48579213470220567;0.9969154983758927;0.4845263838768005;4.467555677890777;3.2000003e-07;0.5305668249726295;0.9975449621677399;0.530952425301075;3.7715752601623533
16;0.48708535730838776;0.9968707710504532;0.485688154399395;4.47286446094513;3.2000003e-07;0.5298005387187004;0.9975392073392868;0.5302630677819252;3.7799331665039064
17;0.5263978242874146;0.9969262987375259;0.5257237687706947;3.8521161675453186;6.4000005e-08;0.5290095701813697;0.9975319176912307;0.529328978061676;3.793263614177704
18;0.5139600932598114;0.9968892425298691;0.5138027235865593;4.041304433345795;1.2800001e-08;0.5288896948099137;0.9975337088108063;0.5293076351284981;3.79410297870636
19;0.5228152498602867;0.9968208342790603;0.5218454450368881;3.987956464290619;1e-08;0.5291503921151162;0.9975355476140976;0.5294888257980347;3.791609799861908
20;0.4920629531145096;0.996787303686142;0.4914805516600609;4.362552917003631;1e-08;0.5289913639426231;0.9975343555212021;0.5293870016932487;3.79326878786087
21;0.48202430456876755;0.9969781279563904;0.48162748366594316;4.557457065582275;1e-08;0.5290284067392349;0.9975339025259018;0.5294008433818818;3.7933360934257507
22;0.48982463479042054;0.9967548817396163;0.4891699582338333;4.28379899263382;1e-08;0.5290612488985061;0.9975321978330612;0.5294080317020416;3.793180859088898
23;0.5050857797265053;0.9971364706754684;0.5046385541558266;4.119978952407837;1e-08;0.528888238966465;0.9975314855575561;0.5293021559715271;3.7946614265441894
24;0.45850416272878647;0.9966852217912674;0.4573965847492218;4.805026268959045;1e-08;0.528814435005188;0.9975295752286911;0.5293324366211891;3.7941945791244507
25;0.45934760868549346;0.9970554560422897;0.457587742805481;4.936211597919464;1e-08;0.5285540580749511;0.9975282579660416;0.529002945125103;3.798483669757843
0;0.46413892110188804;0.996619866291682;0.4638618936141332;4.700982284545899;0.001;0.5329489432275295;0.9974242672324181;0.5352245762944221;3.7871498972177506
1;0.45181226581335066;0.9965729455153147;0.4520620400706927;4.957939966519674;0.001;0.5055118583142757;0.9971313804388047;0.5082572132349015;4.16047922372818
2;0.49416841169198356;0.9967868586381277;0.4938178390264511;4.332637651761373;0.00020000001;0.5169474437832833;0.9974902540445327;0.5174827940762043;3.9811410903930664
3;0.49610911111036937;0.9968752165635427;0.49599086344242094;4.253065594037374;4.0000003e-05;0.5231683328747749;0.9974866658449173;0.5242257885634899;3.902029386162758
4;0.48183107872804004;0.9968258082866669;0.48171491821606954;4.467820239067078;8.000001e-06;0.5245301999151707;0.9974849939346313;0.5254626639187336;3.8893727540969847
5;0.4836031605799993;0.996655935049057;0.483302566409111;4.423850393295288;1.6000001e-06;0.5250656560063363;0.9974857255816459;0.5260815374553204;3.8806413412094116
6;0.48494643767674767;0.9969001710414886;0.4850701163212458;4.403085994720459;3.2000003e-07;0.525908213108778;0.9974907606840133;0.5269249185919762;3.8693391561508177
7;0.501158814628919;0.9969546457131704;0.501268524924914;4.178102310498556;6.4000005e-08;0.5260284803807735;0.9974929586052894;0.527050069719553;3.867295432090759
8;0.4595308581988017;0.9969765841960907;0.4593652774890264;4.812209312121073;1.2800001e-08;0.5258434981107711;0.9974884957075119;0.5268957801163197;3.8703649431467055
9;0.4898694465557734;0.9968359172344208;0.4894732971986135;4.318009845415751;1e-08;0.5261245243251323;0.9974919512867928;0.5271271452307701;3.867053914070129
10;0.5101114680369695;0.9967496613661448;0.5101427187522253;4.021555272738139;1e-08;0.526239238679409;0.9974937900900841;0.5272537142038345;3.865077817440033
0;0.4186326374610265;0.9963244557380676;0.41845407883326213;5.505666319529215;0.001;0.4455308564007282;0.9959074854850769;0.4497915364801884;4.958312195539475
